"LATITUDE","LONGITUDE","FLOOR"
4864981.016522,-7595.57949336735,1
4864982.09613131,-7596.56723586891,1
4864982.09613131,-7596.56723586891,1
4864983.18495977,-7594.50455476743,1
4864983.18495977,-7594.50455476743,1
4864981.65693805,-7595.2224386358,1
4864982.0420931,-7594.83490688065,1
4864982.0740093,-7596.95710340346,1
4864982.90001805,-7594.65937033403,1
4864982.09613131,-7596.56723586891,1
4864981.93391542,-7596.47989380426,1
4864981.74250061,-7598.00477927282,1
4864981.93391542,-7596.47989380426,1
4864982.31066824,-7596.94163316129,1
4864961.81843005,-7635.3440285184,1
4864982.10720636,-7596.90660411463,1
4864981.74250061,-7598.00477927282,1
4864982.19030061,-7596.96801927343,1
4864982.19030061,-7596.96801927343,1
4864981.98659131,-7596.94957586874,1
4864982.19030061,-7596.96801927343,1
4864982.19030061,-7596.96801927343,1
4864982.19030061,-7596.96801927343,1
4864961.79474,-7635.38933333407,1
4864981.18169951,-7599.7559115569,1
4864981.18169951,-7599.7559115569,1
4864981.3851614,-7599.79094060356,1
4864980.75910205,-7601.26733199625,1
4864981.18169951,-7599.7559115569,1
4864981.18169951,-7599.7559115569,1
4864981.18169951,-7599.7559115569,1
4864981.18169951,-7599.7559115569,1
4864980.75910205,-7601.26733199625,1
4864981.00124745,-7599.85388007463,1
4864980.69887062,-7601.24966630847,1
4864980.25818017,-7603.38244972754,2
4864980.83641062,-7601.29550630883,1
4864979.93402478,-7603.75827829916,2
4864980.83641062,-7601.29550630883,1
4864979.93402478,-7603.75827829916,2
4864980.69944807,-7601.21062586947,1
4864980.69944807,-7601.21062586947,1
4864980.69944807,-7601.21062586947,1
4864980.69944807,-7601.21062586947,1
4864980.69944807,-7601.21062586947,1
4864980.69944807,-7601.21062586947,1
4864981.50398659,-7599.92485219477,1
4864980.02231182,-7604.34600924009,1
4864980.02231182,-7604.34600924009,1
4864980.57755034,-7603.40417556562,1
4864980.02231182,-7604.34600924009,1
4864980.57755034,-7603.40417556562,1
4864977.4914567,-7611.93306625866,1
4864979.47693182,-7606.24856924021,1
4864976.68174245,-7614.93203110048,1
4864978.37012245,-7619.71439110064,1
4864986.80378974,-7632.17520055231,2
4864978.61054375,-7618.60010337169,1
4864976.68174245,-7614.93203110048,1
4864976.68174245,-7614.93203110048,1
4864976.68174245,-7614.93203110048,1
4864977.4914567,-7611.93306625866,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864981.76066375,-7622.5981233717,1
4864981.76066375,-7622.5981233717,1
4864978.61054375,-7618.60010337169,1
4864976.48452375,-7615.34460337172,1
4864978.61054375,-7618.60010337169,1
4864978.61054375,-7618.60010337169,1
4864978.49168375,-7619.01498337175,1
4864978.61054375,-7618.60010337169,1
4864978.49168375,-7619.01498337175,1
4864984.35192,-7632.17520055231,2
4864989.36592,-7633.08702857207,2
4864984.35192,-7632.17520055231,2
4864984.35192,-7632.17520055231,2
4864987.49426,-7632.69171872557,2
4864987.49426,-7635.92901872559,2
4864987.49426,-7635.92901872559,2
4864987.49426,-7635.92901872559,2
4864987.49426,-7632.69171872557,2
4864977.56940245,-7619.1579711,1
4864977.56940245,-7619.1579711,1
4864977.56940245,-7619.1579711,1
4864976.48452375,-7615.34460337172,1
4864976.48452375,-7615.34460337172,1
4864978.61054375,-7618.60010337169,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864987.49426,-7635.54586158249,2
4864978.49168375,-7619.01498337175,1
4864980.70618646,-7621.95898614336,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864980.18006375,-7623.79734337191,1
4864980.18006375,-7623.79734337191,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864980.18006375,-7623.79734337191,1
4864980.18006375,-7623.79734337191,1
4864979.11144626,-7617.37575821301,1
4864977.54147528,-7612.20947224445,1
4864977.54147528,-7612.20947224445,1
4864980.12348,-7623.74744000137,1
4864980.18006375,-7623.79734337191,1
4864980.18006375,-7623.79734337191,1
4864980.18006375,-7623.79734337191,1
4864980.18006375,-7623.79734337191,1
4864978.25126245,-7620.1292711007,1
4864980.18006375,-7623.79734337191,1
4864981.86844375,-7628.57970337207,1
4864981.86844375,-7628.57970337207,1
4864983.01140375,-7628.90734337206,1
4864986.28038375,-7632.49048337202,1
4864983.01140375,-7628.90734337206,1
4864984.52918375,-7629.34238337214,1
4864978.68890245,-7618.6024111005,1
4864980.37728245,-7623.38477110067,1
4864983.44904375,-7627.38048337187,1
4864981.32302375,-7624.1249833719,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864976.56288245,-7615.34691110053,1
4864979.35826245,-7620.60587110021,1
4864976.68129147,-7614.96298513213,1
4864977.60986572,-7611.54914029025,1
4864978.49168375,-7619.01498337175,1
4864981.28706375,-7624.27394337143,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864982.86766375,-7623.07472337122,1
4864982.43002375,-7624.60158337141,1
4864987.19884306,-7633.2956693039,2
4864987.49426,-7635.94117142899,2
4864987.49426,-7635.94117142899,2
4864987.49426,-7635.94117142899,2
4864989.36592,-7635.94117142899,2
4864983.44904375,-7627.38048337187,1
4864990.5011,-7635.94117142899,2
4864990.5011,-7635.94117142899,2
4864984.59200375,-7627.70812337185,1
4864981.76066375,-7622.5981233717,1
4864981.32302375,-7624.1249833719,1
4864991.29023261,-7633.65966940539,1
4864988.08528693,-7633.2818856192,1
4864992.54211979,-7634.75733614287,1
4864991.87832375,-7634.41356337155,1
4864991.87832375,-7634.41356337155,1
4864995.04312375,-7634.88692337136,1
4864990.0747244,-7633.70205635963,1
4864981.28706375,-7624.27394337143,1
4864981.28706375,-7624.27394337143,1
4864979.59868375,-7619.49158337126,1
4864981.28706375,-7624.27394337143,1
4864981.28706375,-7624.27394337143,1
4864985.7256044,-7628.1570163594,1
4864985.7256044,-7628.1570163594,1
4864979.79590245,-7619.07901110002,1
4864977.00052245,-7613.82005110034,1
4864977.00052245,-7613.82005110034,1
4864985.7256044,-7628.1570163594,1
4864988.94242759,-7633.33305860734,1
4864984.59200375,-7627.70812337185,1
4864986.8685644,-7628.48465635938,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864981.32302375,-7624.1249833719,1
4864988.59290441,-7633.11805636001,1
4865000.0598,-7639.05252000168,1
4865005.07482,-7640.21552000046,1
4865000.40542,-7639.31088000089,1
4864990.78617261,-7633.94898940565,1
4864990.36054375,-7633.97852337147,1
4864992.7354644,-7634.46473635969,1
4864994.98076375,-7635.14364337112,1
4864993.77540375,-7634.95736337091,1
4864991.5301044,-7634.27845635948,1
4864995.48544,-7637.74132857206,2
4864995.48544,-7637.4347000005,2
4864995.48544,-7637.4347000005,2
4864995.48544,-7638.05078571503,2
4864992.47628,-7637.4347000005,2
4864992.47628,-7637.4347000005,2
4864999.62978,-7638.05078571503,2
4864998.4946,-7638.35741428658,2
4865001.26256066,-7639.36205298903,1
4865001.26256066,-7639.36205298903,1
4865001.74360384,-7639.1809752364,1
4865006.9426376,-7640.60184223138,1
4865006.9426376,-7640.60184223138,1
4865007.0049976,-7640.34512223162,1
4865005.0095976,-7640.20700223156,1
4865010.00569274,-7641.3033654399,1
4865010.00569274,-7641.3033654399,1
4865010.00569274,-7641.3033654399,1
4865006.21494555,-7640.35519373552,1
4865004.62961274,-7640.19618544055,1
4865006.25090555,-7640.20623373599,1
4865006.25090555,-7640.20623373599,1
4865006.25090555,-7640.20623373599,1
4865007.8872,-7640.42164285747,2
4865007.41136,-7640.21088571474,2
4865007.41136,-7640.42164285747,2
4865008.12089285,-7640.70441010073,1
4865009.63158555,-7641.17529373528,1
4865009.60449285,-7641.12967010066,1
4865009.63158555,-7641.17529373528,1
4865009.69394555,-7640.91857373552,1
4865009.60449285,-7641.12967010066,1
4865009.60449285,-7641.12967010066,1
4865006.9155449,-7640.55621859676,1
4865009.60449285,-7641.12967010066,1
4865008.71872626,-7640.6133651905,1
4865009.60449285,-7641.12967010066,1
4865009.60449285,-7641.12967010066,1
4865006.93552,-7640.61904285795,2
4865006.9155449,-7640.55621859676,1
4865006.63089041,-7640.217050527,1
4865006.9155449,-7640.55621859676,1
4865012.16074626,-7641.59998518976,1
4865010.65614626,-7641.16870519,1
4865009.11199281,-7640.25380829486,1
4865006.34807281,-7639.89528829518,1
4865014.19016733,-7641.75150710969,1
4865004.82413281,-7639.45848829511,1
4865005.22501281,-7639.57332829523,1
4865007.98893281,-7639.93184829491,1
4865007.51886626,-7640.54398519027,1
4865006.74895281,-7640.0101282953,1
4865012.85316,-7641.62151999921,1
4865012.85316,-7641.62151999921,1
4865012.85316,-7641.62151999921,1
4865012.85316,-7641.62151999921,1
4865011.03681281,-7640.80544829506,1
4865011.03681281,-7640.80544829506,1
4865011.03681281,-7640.80544829506,1
4865011.41092,-7640.93351999968,1
4865011.41092,-7640.93351999968,1
4865011.34856,-7641.19023999944,1
4865009.82462,-7640.75343999937,1
4865011.34856,-7641.19023999944,1
4865011.34856,-7641.19023999944,1
4865011.34856,-7641.19023999944,1
4865011.34856,-7641.19023999944,1
4865009.82462,-7640.75343999937,1
4865009.82462,-7640.75343999937,1
4865009.4861,-7640.38187999949,1
4865009.11199281,-7640.25380829486,1
4865009.4861,-7640.38187999949,1
4865008.30068,-7640.3166399993,1
4865008.30068,-7640.3166399993,1
4865009.51287281,-7640.36864829499,1
4865007.55343281,-7640.08156829539,1
4865011.01004,-7640.81867999956,1
4865010.63593281,-7640.69060829494,1
4865010.63593281,-7640.69060829494,1
4865011.01004,-7640.81867999956,1
4865007.247,-7640.46518571515,2
4865003.57000626,-7639.96102519113,1
4865004.78246626,-7640.03410519066,1
4865006.37559281,-7639.74392829526,1
4865006.93552,-7640.61904285795,2
4865006.93552,-7640.61904285795,2
4865006.54555974,-7640.21656701585,1
4865006.46307248,-7640.14191245604,1
4865006.93552,-7640.61904285795,2
4865006.93552,-7640.61904285795,2
4865000.16673599,-7638.74337054443,1
4865004.99146,-7640.46622000039,1
4865006.55002,-7640.63845999986,1
4865004.99146,-7640.46622000039,1
4865006.25848626,-7640.73176519054,1
4865007.47094626,-7640.80484519008,1
4865007.54590626,-7640.55182518962,1
4865009.15897907,-7640.71867348543,1
4865009.13220626,-7640.73190518993,1
4865008.32745281,-7640.3034082948,1
4865004.81703281,-7639.57168829578,1
4865006.55313974,-7639.9441670159,1
4865006.89165974,-7640.31572701578,1
4865004.99457974,-7639.77192701643,1
4865005.09593087,-7639.87528467868,1
4865005.09593087,-7639.87528467868,1
4865004.93221974,-7640.02864701619,1
4865005.30632693,-7640.15671872081,1
4865004.90544693,-7640.04187872069,1
4865005.30632693,-7640.15671872081,1
4865003.9782,-7639.78588000014,1
4865000.19474319,-7638.77228224911,1
4865001.32704,-7639.1412800014,1
4864998.16224,-7638.6679200016,1
4865000.12168,-7638.95500000119,1
4864997.02994318,-7638.29892224931,1
4865001.61078,-7639.4971600011,1
4864998.98938319,-7638.5860022489,1
4864998.18219656,-7635.33201166688,1
4864994.98352375,-7634.98508337225,1
4864997.00256375,-7635.17400337095,1
4864995.04312375,-7634.88692337136,1
4864995.12798384,-7637.87773523669,1
4864995.44024318,-7638.16180224829,1
4864994.37258804,-7637.59839903983,1
4864979.35826245,-7620.60587110021,1
4864995.12798384,-7637.87773523669,1
4864994.37258804,-7637.59839903983,1
4864994.03583271,-7637.41316127079,1
4864994.03583271,-7637.41316127079,1
4864999.62978,-7639.1017428578,2
4864994.64544,-7636.78970000041,2
4864988.5569444,-7633.26701635954,1
4864988.5569444,-7633.26701635954,1
4864988.5569444,-7633.26701635954,1
4864988.5569444,-7633.26701635954,1
4864988.5569444,-7633.26701635954,1
4864988.5569444,-7633.26701635954,1
4864988.5569444,-7633.26701635954,1
4864988.5569444,-7633.26701635954,1
4864979.59868375,-7619.49158337126,1
4864990.5011,-7636.16146158249,2
4864988.62944,-7636.16146158249,2
4864990.5011,-7636.16146158249,2
4864990.5011,-7636.16146158249,2
4864990.5011,-7636.16146158249,2
4864990.5011,-7636.16146158249,2
4864990.5011,-7636.16146158249,2
4864988.62944,-7635.94117142899,2
4864990.5011,-7635.94117142899,2
4864990.5011,-7635.94117142899,2
4864985.4871,-7629.87345501883,2
4864987.49426,-7635.55801428588,2
4864982.27892306,-7629.57722699908,2
4864987.49426,-7629.87345501883,2
4864985.42126305,-7629.87345501883,2
4864984.28608306,-7629.87345501883,2
4864984.28608306,-7629.87345501883,2
4864984.28608306,-7629.87345501883,2
4864982.27892306,-7629.87345501883,2
4864984.28608306,-7632.72759787575,2
4864977.66076375,-7620.42908337201,1
4864977.18264496,-7613.7076859418,1
4864977.91400051,-7610.70641337117,1
4864984.59200375,-7627.70812337185,1
4864986.66144,-7630.91372000128,1
4864989.49278,-7636.02372000143,1
4864989.49278,-7636.02372000143,1
4864986.66144,-7630.91372000128,1
4864986.66144,-7630.91372000128,1
4864981.76066375,-7622.5981233717,1
4864978.11121922,-7610.29384109992,1
4864978.11121922,-7610.29384109992,1
4864978.68890245,-7618.6024111005,1
4864978.68890245,-7618.6024111005,1
4864976.68174245,-7614.93203110048,1
4864978.49168375,-7619.01498337175,1
4864981.32302375,-7624.1249833719,1
4864978.49168375,-7619.01498337175,1
4864978.49168375,-7619.01498337175,1
4864979.90519277,-7623.30065740358,1
4864979.90519277,-7623.30065740358,1
4864977.41264702,-7611.9617125615,1
4864978.544978,-7618.65485853026,1
4864984.53542,-7627.65822000131,1
4864978.49168375,-7619.01498337175,1
4864983.39246,-7627.33058000132,1
4864977.77917277,-7620.04515740361,1
4864987.36676,-7632.76822000146,1
4864978.03240953,-7610.32248740276,1
4864984.42546667,-7630.16103333483,1
4864983.5446,-7631.67254000157,1
4864988.33402305,-7633.2956693039,2
4864990.11160306,-7630.04751216084,2
4864985.51046306,-7629.64725501832,2
4864978.61009277,-7618.63105740334,1
4864987.19884306,-7634.12111216088,2
4864987.19884306,-7634.12111216088,2
4864986.05332369,-7632.17784001085,2
4864992.72468306,-7633.99856930382,2
4864987.49426,-7632.70387142897,2
4864984.28608306,-7629.34478414218,2
4864984.35192,-7633.08702857207,2
4864984.35192,-7632.47142857207,2
4864984.35192,-7632.70387142897,2
4864984.35192,-7632.17520055231,2
4864976.68174245,-7614.93203110048,1
4864978.61054375,-7618.60010337169,1
4864978.61054375,-7618.60010337169,1
4864978.61054375,-7618.60010337169,1
4864976.48452375,-7615.34460337172,1
4864979.28148346,-7608.25355181377,1
4864977.54147528,-7612.20947224445,1
4864978.46465114,-7609.98817322281,1
4864978.83657528,-7616.87907224468,1
4864978.08685528,-7610.30691224432,1
4864979.11144626,-7617.37575821301,1
4864978.21681277,-7618.51829740341,1
4864978.03240953,-7610.32248740276,1
4864977.0538167,-7613.45992625885,1
4864976.68129147,-7614.96298513213,1
4864977.60986572,-7611.54914029025,1
4864977.0538167,-7613.45992625885,1
4864977.60986572,-7611.54914029025,1
4864976.68129147,-7614.96298513213,1
4864976.68129147,-7614.96298513213,1
4864976.68129147,-7614.96298513213,1
4864976.68129147,-7614.96298513213,1
4864978.21955,-7610.59173145735,1
4864976.56288245,-7615.34691110053,1
4864971.31904929,-7629.99212267146,1
4864971.31904929,-7629.99212267146,1
4864969.77735371,-7633.36033883579,1
4864971.31904929,-7629.99212267146,1
4864969.77735371,-7633.36033883579,1
4864969.77735371,-7633.36033883579,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864976.68129147,-7614.96298513213,1
4864965.30924162,-7635.72060874965,1
4864969.77735371,-7633.36033883579,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864967.83132223,-7632.00883909129,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864966.19358162,-7632.86496875029,1
4864965.30924162,-7635.72060874965,1
4864965.30924162,-7635.72060874965,1
4864987.29247669,-7625.96509928959,0
4864964.12858162,-7635.75342875014,1
4864987.29247669,-7621.70649999976,0
4864969.7773537,-7633.36033883579,1
4864969.7773537,-7633.36033883579,1
4864969.7773537,-7633.36033883579,1
4864986.9865624,-7627.62111928942,0
4864969.7773537,-7633.36033883579,1
4864962.94792162,-7635.78624875064,1
4864962.94792162,-7635.78624875064,1
4864954.93207497,-7639.44841349358,1
4864966.2353737,-7633.45879883729,1
4864966.2353737,-7633.45879883729,1
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.99451302,-7643.45268738071,1
4864947.99451302,-7643.45268738071,1
4864947.99451302,-7643.45268738071,1
4864947.8138,-7643.0923999995,1
4864947.78823493,-7643.00856523184,1
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.78823493,-7643.00856523184,1
4864947.78823493,-7643.00856523184,1
4864947.8138,-7643.0923999995,1
4864955.3877537,-7640.57825217011,1
4864951.00245497,-7642.61314682697,1
4864947.34318,-7644.27977333317,1
4864947.8138,-7643.0923999995,1
4864958.1908,-7637.16032000035,1
4864956.06911667,-7639.13847777827,1
4864961.17885497,-7636.40047349418,1
4864961.17885497,-7636.40047349418,1
4864961.17885497,-7636.40047349418,1
4864961.17885497,-7636.40047349418,1
4864958.41164,-7637.55022000074,1
4864947.68024834,-7643.16489333152,2
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.8138,-7643.0923999995,1
4864947.78823493,-7643.00856523184,1
4864947.8138,-7643.0923999995,1
4864947.78823493,-7643.00856523184,1
4864947.78823493,-7643.00856523184,1
4864947.8138,-7643.0923999995,1
4864964.18452192,-7635.03965129204,2
4864958.36583493,-7637.35707856633,1
4864958.68775848,-7639.21160430075,2
4864954.83563016,-7639.61251151258,2
4864962.43358182,-7638.550025798,2
4864958.68775848,-7638.03229535541,2
4864958.68775848,-7638.550025798,2
4864958.88739157,-7639.87570830819,2
4864964.66732192,-7634.20776811256,2
4864958.68775848,-7639.21160430075,2
4864958.88739157,-7638.68541815193,2
4864958.88739157,-7639.87570830819,2
4864958.68775848,-7639.87570830819,2
4864958.88739157,-7639.87570830819,2
4864958.88739157,-7639.87570830819,2
4864958.88739157,-7639.87570830819,2
4864958.88739157,-7640.52113243785,2
4864958.88739157,-7640.52113243785,2
4864958.88739157,-7638.35957212041,2
4864962.61109157,-7636.23460069126,2
4864959.17940975,-7639.25885838005,2
4864947.68024834,-7640.67499722715,2
4864947.68024834,-7642.10240761694,2
4864947.68024834,-7642.10240761694,2
4864947.68024834,-7642.51071151308,2
4864958.36583493,-7637.35707856633,1
4864946.80373666,-7644.71135047422,2
4864958.36583493,-7637.35707856633,1
4864961.8504,-7635.46355333428,1
4864961.8504,-7635.46355333428,1
4864955.12767493,-7639.72433856644,1
4864948.43051493,-7644.06895856626,1
4864948.43051493,-7644.06895856626,1
4864948.43051493,-7644.06895856626,1
4864948.43051493,-7644.06895856626,1
4864948.43051493,-7644.06895856626,1
4864948.43051493,-7644.06895856626,1
4864948.43051493,-7644.06895856626,1
4864948.20967493,-7643.67905856587,1
4864948.43051493,-7644.06895856626,1
4864948.43051493,-7644.06895856626,1
4864947.75929493,-7644.9757385663,1
4864947.75929493,-7644.9757385663,1
4864947.75929493,-7644.9757385663,1
4864947.68024834,-7642.10240761694,2
4864951.88951493,-7642.09159856655,1
4864948.43051493,-7644.06895856626,1
4864951.88951493,-7642.09159856655,1
4864948.43051493,-7644.06895856626,1
4864946.67530834,-7643.93812190287,2
4864953.15488844,-7639.94081469035,2
4864947.00336975,-7644.0735142568,2
4864961.79474,-7635.38933333407,1
4864957.67033026,-7637.19294715765,2
4864953.15488844,-7638.62035754744,2
4864957.68514844,-7637.19294715765,2
4864953.15488844,-7638.60453287232,2
4864954.85117493,-7639.26021856584,1
4864958.31017493,-7637.28285856612,1
4864954.85117493,-7639.26021856584,1
4864961.26738192,-7637.08839668454,2
4864953.14007026,-7638.80504715801,2
4864956.54001026,-7638.54707572968,2
