"LATITUDE","LONGITUDE","FLOOR"
4864980.78127769,-7596.48024178809,1
4864981.60806736,-7597.02987865119,1
4864981.60348671,-7597.08046133928,1
4864981.73904018,-7593.97190215428,1
4864981.86733489,-7593.6668871156,1
4864982.12036637,-7594.16606062354,1
4864981.95797578,-7594.10637028962,1
4864981.95847241,-7595.41034911199,1
4864981.73915575,-7596.99634135701,1
4864981.6728087,-7597.10608525605,1
4864981.62863954,-7598.31018621971,1
4864981.77494371,-7597.15419121505,1
4864981.41694296,-7599.58829640978,1
4864981.14978518,-7600.9887869913,1
4864961.63760098,-7637.80621947188,1
4864981.2220738,-7599.86822958569,1
4864981.63193148,-7599.0890668105,1
4864982.09600964,-7598.10210751443,1
4864982.05133157,-7597.82200313089,1
4864980.83562703,-7600.13580589609,1
4864981.95366484,-7599.11597403528,1
4864982.18978975,-7599.47648401036,1
4864981.99217971,-7599.05002515648,1
4864962.01255025,-7638.05003014395,1
4864983.10660549,-7602.41936209938,1
4864982.90349333,-7601.31289790869,1
4864982.96310409,-7601.8111567855,1
4864983.45105196,-7605.44061250936,1
4864982.85476738,-7600.73708238225,1
4864982.8607091,-7601.49099736977,1
4864982.81715982,-7601.68451884084,1
4864982.89650777,-7601.84850156629,1
4864982.82202208,-7601.73954294436,1
4864981.11509414,-7602.39066256714,1
4864982.30010347,-7602.44941477473,1
4864983.00976548,-7606.83781180782,2
4864981.85582012,-7602.70132611503,1
4864980.16809242,-7611.07373542678,2
4864981.84646426,-7601.79415791647,1
4864986.39461563,-7610.90182857641,2
4864981.91606712,-7602.24418063013,1
4864982.16817169,-7601.89394333312,1
4864982.44336145,-7604.30398893428,1
4864983.20371502,-7603.82234769051,1
4864983.08498155,-7605.1069025124,1
4864983.43706683,-7605.73094381334,1
4864983.41913382,-7605.44459865274,1
4864983.60731359,-7606.46334709075,1
4864982.79257105,-7606.32550422374,1
4864982.98838232,-7604.03714622894,1
4864983.0480814,-7605.99573587796,1
4864983.22776078,-7605.68714639333,1
4864991.25934711,-7622.66428028892,1
4864988.90138701,-7618.53365679167,1
4864991.32534843,-7616.51714110074,1
4864994.4350049,-7620.56593834517,1
4864995.31714052,-7623.26182366098,2
4864995.41135241,-7620.27496111414,1
4864991.62535341,-7615.50101846379,1
4864995.46172586,-7619.68551547128,1
4864995.23206143,-7617.99794133133,1
4864989.8792145,-7617.27153710725,1
4864993.25059139,-7621.51485718968,1
4864992.13624355,-7620.15849830894,1
4864994.93441928,-7625.4422892756,1
4864992.30296648,-7623.78284420668,1
