"LATITUDE","LONGITUDE","FLOOR"
4864942.78117449,-7598.47915434589,1
4864943.11552723,-7597.4795530058,1
4864943.10847391,-7597.48830333913,1
4864943.46667441,-7597.07044814579,1
4864943.46543623,-7596.93961459248,1
4864943.48713685,-7597.07021882577,1
4864943.51064955,-7597.10320569907,1
4864943.43707704,-7598.20981768914,1
4864943.34135108,-7597.5081771325,1
4864943.10613371,-7597.55734798585,1
4864941.94100134,-7597.93741189597,1
4864944.31924624,-7598.99810405583,1
4864941.92986775,-7598.67263397263,1
4864943.04375486,-7600.48578060279,1
4864948.21979989,-7643.23323495504,1
4864943.31261327,-7601.07462765945,1
4864943.36081003,-7601.10284895604,1
4864943.328682,-7599.76079356271,1
4864943.31703987,-7599.49183826601,1
4864943.13645267,-7598.99608611583,1
4864943.28612079,-7600.23231907264,1
4864943.26343721,-7601.90446255935,1
4864943.31113068,-7600.33462910935,1
4864949.40546273,-7642.99996055873,1
4864944.26505064,-7602.1026942758,1
4864943.71417009,-7599.77933519592,1
4864943.66326505,-7601.56377758258,1
4864944.3385124,-7603.68457439269,1
4864943.85791137,-7599.56333506937,1
4864943.74458479,-7602.03410394595,1
4864943.94555432,-7601.77164862601,1
4864944.06265503,-7602.20712114597,1
4864944.05927723,-7601.89655018599,1
4864943.36996863,-7602.14226143583,1
4864944.17442145,-7602.43827097584,1
0,-7603.37911480555,2
4864943.58935486,-7604.39796786925,1
0,-7608.58065100461,2
4864943.42478821,-7602.5954777193,1
0,-7608.83385280097,2
4864943.82844665,-7602.94479443925,1
4864943.49914267,-7603.00298128927,1
4864944.34366916,-7605.41255328589,1
4864945.64217073,-7604.85542932259,1
4864945.63469173,-7608.34921377598,1
4864945.63822919,-7606.14753353591,1
4864945.63702753,-7608.11119251931,1
4864946.2401594,-7609.07895814599,1
4864944.77455059,-7609.43486377261,1
4864944.78303413,-7605.19113062588,1
4864944.77236919,-7608.97512030592,1
4864944.75466079,-7606.80032677585,1
4864949.1478437,-7619.92479012292,1
4864948.22066286,-7616.54202799294,1
4864949.07012539,-7615.14494669608,1
4864953.03826015,-7618.36755658955,1
0,-7631.57661328634,2
4864953.06235364,-7617.66478997606,1
4864950.81973557,-7613.23494136942,1
4864953.29878052,-7617.22589911276,1
4864953.1441092,-7617.47478453617,1
4864949.21147898,-7615.20872346613,1
4864952.07765163,-7623.81647930939,1
4864951.1461279,-7622.46556259616,1
4864953.43587712,-7627.32984392618,1
4864951.71118712,-7623.02006929952,1
4864950.80468153,-7621.63758316283,1
4864950.73158663,-7620.93034147614,1
4864951.30873486,-7622.26512108289,1
4864951.28310926,-7622.09970301622,1
4864950.69732062,-7621.74688972624,1
4864951.65377191,-7624.55888155285,1
4864952.18795877,-7621.23445203911,1
0,-7631.25215109795,2
0,-7631.2012736046,2
0,-7631.31353525794,2
0,-7631.49319498792,2
0,-7631.29046569289,2
0,-7632.01355435629,2
0,-7631.94360492627,2
0,-7631.62860672253,2
0,-7631.58978052922,2
4864952.33692991,-7625.39840516688,1
4864952.05903483,-7624.5961720633,1
4864950.93695156,-7623.93471893999,1
4864953.0188898,-7621.14927727321,1
4864953.46132278,-7623.91767900325,1
4864955.322565,-7621.08440985325,1
4864956.49697614,-7624.32390572642,1
4864956.18073861,-7625.10616865326,1
0,-7631.50230200489,2
4864952.43567239,-7616.71034517321,1
4864960.90304596,-7633.52887092981,1
4864960.54940417,-7633.48975075648,1
4864956.48665443,-7629.10411639997,1
4864957.61640637,-7635.0700845865,1
4864957.31585184,-7635.02762798646,1
4864957.64182957,-7635.20958393652,1
4864957.22841384,-7634.97000470313,1
4864954.84452708,-7626.64465014997,1
4864956.99203231,-7634.1684059798,1
4864956.69182006,-7634.45797831981,1
4864953.60059264,-7630.77326970964,1
4864953.38173922,-7632.31296567646,1
4864953.17381589,-7621.18298592647,1
4864953.08252882,-7621.42199140985,1
4864953.94305382,-7622.84605708325,1
4864954.4763637,-7622.44016925658,1
4864954.47956224,-7622.60849760632,1
4864956.12511399,-7625.58743734974,1
4864954.59538202,-7628.23465542281,1
4864954.86809056,-7625.76885966649,1
4864960.69450753,-7625.30162075001,1
4864957.99953774,-7632.38154732371,1
4864959.70979682,-7632.80468784664,1
4864954.5911632,-7634.44221375641,1
4864954.5830048,-7634.3134397197,1
4864955.2957442,-7635.20720425979,1
4864955.6610583,-7634.69021728311,1
4864955.40861815,-7634.42260878305,1
4864956.60796224,-7634.38542754297,1
4864956.63233644,-7634.40339511296,1
4864956.85670168,-7634.91164494655,1
4864957.20716706,-7635.04893833657,1
4864959.17195878,-7634.81159129321,1
4864959.31596408,-7635.24439948018,1
4864954.30146979,-7633.28051154681,1
4864957.31338557,-7633.5681072,1
4864957.27326313,-7633.76790665337,1
4864957.22470719,-7633.71377143002,1
4864955.49844526,-7633.49323776675,1
4864957.90766409,-7634.95181832012,1
4864957.91858359,-7634.80739963004,1
4864954.90081212,-7632.45526869333,1
4864954.96446053,-7630.11287702001,1
4864954.70242219,-7628.45677286992,1
4864956.90278863,-7631.94171122002,1
4864959.44090083,-7635.46014150006,1
4864959.04863816,-7635.48685578674,1
4864957.98795829,-7634.87289164003,1
4864956.41566387,-7633.8235141934,1
4864959.08839732,-7635.80848772672,1
4864954.90893716,-7632.31642376004,1
0,-7631.45346997821,2
0,-7631.68263721158,2
0,-7631.94442813822,2
0,-7631.85587148823,2
0,-7632.03238495476,2
4864956.20941332,-7633.95672141302,1
0,-7632.23811336818,2
0,-7631.93015270712,2
4864955.52252162,-7634.04965525301,1
4864956.07519823,-7634.02593342306,1
4864956.00213803,-7635.80205931308,1
4864956.59811209,-7635.56498591641,1
4864956.47774869,-7634.60672407637,1
4864956.55781753,-7634.59777836972,1
4864956.50692093,-7634.47234208638,1
4864956.57214873,-7634.71249958635,1
4864956.51086979,-7634.70967018635,1
4864956.50213291,-7635.51681477311,1
4864956.57493381,-7635.36520146977,1
4864956.36072635,-7634.66844794302,1
4864956.4144982,-7634.88272147972,1
4864956.75823859,-7635.25733964302,1
4864956.85310029,-7635.40699144307,1
4864956.30494755,-7635.55307185638,1
4864956.26240795,-7635.47733092307,1
4864955.84044648,-7633.93199708289,1
4864955.76716988,-7634.02472800625,1
4864954.56218863,-7633.49331264281,1
4864956.2726966,-7634.71006281958,1
4864955.36584652,-7635.32939198298,1
4864955.48640373,-7635.46040184967,1
4864955.29011767,-7635.70804978638,1
4864954.68819097,-7635.40760449978,1
4864954.41597547,-7635.30073021311,1
4864954.42294307,-7635.3030723631,1
4864954.34921107,-7635.42211482974,1
4864954.34921107,-7635.47218020309,1
4864954.34076955,-7635.48604167975,1
4864954.62789297,-7635.42584302975,1
4864955.06962817,-7635.83677790298,1
4864956.41666127,-7632.90050586312,1
4864957.2696939,-7631.61837620978,1
4864956.58473606,-7631.87111976336,1
4864956.49630695,-7635.47186176299,1
4864956.52018182,-7633.71110024973,1
4864956.84100109,-7633.79544159974,1
4864956.65428113,-7633.37411299302,1
4864956.6594562,-7633.34108721301,1
4864956.73509416,-7633.39373575296,1
0,-7632.97219856722,2
0,-7632.91018170722,2
0,-7632.84640631388,2
0,-7632.91244904388,2
0,-7632.84840703053,2
0,-7632.93521449389,2
0,-7632.96098205388,2
0,-7632.9111403472,2
4864957.01745033,-7633.93789645289,1
4864956.97594055,-7634.72608024294,1
4864956.56027325,-7634.8258594696,1
4864958.571706,-7637.5709519556,1
4864958.39401985,-7638.4306421756,1
4864958.57051395,-7638.6207997556,1
4864958.73612415,-7638.56309323561,1
4864957.85765126,-7640.34968147722,1
4864957.88367353,-7636.93205322371,1
4864957.88289857,-7637.02022906375,1
4864957.87173817,-7637.03735662039,1
4864957.91452677,-7636.99391969372,1
4864957.90762337,-7636.9381922637,1
4864957.93322045,-7636.92575306371,1
4864958.12205081,-7637.0996762968,1
0,-7634.32997050274,2
0,-7634.23280812212,2
0,-7633.5219957476,2
4864957.90589713,-7640.11898644037,1
4864958.14050773,-7639.74520648018,1
4864957.94141235,-7639.65470089959,1
4864957.95128275,-7639.65694884624,1
4864957.96420411,-7639.75258753948,1
4864958.39794476,-7639.85310462849,1
4864957.81174951,-7639.57990723902,1
4864957.84029467,-7639.63317740903,1
4864958.08001538,-7639.85479368557,1
4864958.49204527,-7640.71254228637,1
4864958.2602781,-7639.81506917259,1
4864958.3656192,-7639.8246490092,1
0,-7634.42023827773,2
4864958.78833435,-7634.95340368585,1
4864958.75971977,-7635.03685321922,1
4864958.99575,-7634.85446788585,1
4864959.04126682,-7639.19335104655,1
4864957.83507148,-7639.16828686654,1
4864957.52631462,-7638.69603012659,1
4864957.3885601,-7638.43256511335,1
4864953.60622783,-7637.54469629185,1
4864958.01602625,-7637.23565731324,1
4864958.45765656,-7637.29692999328,1
4864958.46441812,-7638.11787914644,1
4864958.00653441,-7638.81915462658,1
4864958.36477261,-7636.38916237952,1
4864957.24316254,-7638.58092253934,1
4864956.41787905,-7637.97313417604,1
4864955.43265372,-7637.87916284272,1
4864957.23508469,-7638.93968195934,1
4864957.89025047,-7638.05192743274,1
4864957.71728249,-7638.20159711271,1
4864957.76366517,-7638.37428540936,1
4864957.79873362,-7638.17111596263,1
4864955.5468205,-7638.11012144269,1
4864956.39770558,-7638.71318646593,1
4864956.27754569,-7639.07519525594,1
4864955.1421528,-7638.36632310615,1
4864955.09871384,-7638.40829467944,1
4864954.936848,-7638.61736088607,1
4864956.64144545,-7639.10172760942,1
4864956.76730028,-7639.33979134265,1
4864956.7157979,-7639.30091061266,1
4864956.69482818,-7639.1762217894,1
4864956.5772065,-7637.08096577591,1
4864956.5498568,-7637.09161158256,1
4864956.64695398,-7636.91776666258,1
4864956.5895159,-7637.34885770262,1
4864958.14807213,-7636.97950155589,1
4864958.02721141,-7637.21138545256,1
4864958.03848556,-7637.42799678921,1
4864957.98191933,-7637.68708558256,1
4864958.15508355,-7637.69939527586,1
4864957.85668735,-7636.95308971267,1
0,-7634.17042028774,2
4864957.02614188,-7637.12234476999,1
4864956.91932667,-7637.13594684672,1
4864958.20112734,-7636.99129428982,1
0,-7634.13112234271,2
0,-7634.05665950721,2
4864958.05027866,-7633.19418775997,1
4864958.15736678,-7635.29158175996,1
0,-7634.09837518212,2
0,-7634.09837518212,2
4864957.76675263,-7634.79035603663,1
4864955.99827776,-7635.96008510365,1
4864956.03564571,-7639.07871660377,1
4864955.99741251,-7639.13600020379,1
4864956.99395945,-7639.56517380057,1
4864956.93216948,-7639.60673330719,1
4864957.06814126,-7639.5058426772,1
4864957.77599554,-7633.88527798336,1
4864956.91572673,-7638.75645106991,1
4864956.86282639,-7638.63832123998,1
4864956.9232258,-7638.72728271059,1
4864956.6858891,-7636.53199633314,1
4864956.66091684,-7638.79835113325,1
4864956.6666543,-7636.25107277309,1
4864956.66307134,-7638.82051233329,1
4864956.66307134,-7639.00709689996,1
4864956.66507004,-7638.7477769899,1
4864955.53292272,-7638.05179358323,1
4864955.48395112,-7638.01537838324,1
4864955.48395112,-7637.83628202322,1
4864953.00364457,-7631.21356520629,1
4864956.21372677,-7627.23077232993,1
4864956.142741,-7626.17788306328,1
4864956.24673103,-7626.55672311999,1
4864956.25519668,-7626.26799536995,1
4864955.96911602,-7628.5941702829,1
4864956.17407962,-7628.60030182292,1
4864957.41051896,-7636.1775127893,1
4864958.13119607,-7636.22512903931,1
4864956.91268329,-7635.886431843,1
4864953.87050973,-7628.71173553288,1
4864958.06544202,-7635.67433572607,1
4864956.37857011,-7635.51374401629,1
4864956.1815249,-7635.21220807297,1
