"LATITUDE","LONGITUDE","FLOOR"
4864981.09293978,-7595.60728447877,1
4864981.69569131,-7596.86047586922,1
4864981.69569131,-7596.86047586922,1
4864982.48450671,-7594.64519814701,1
4864981.82141539,-7593.67410563568,1
4864981.61851733,-7594.64519814701,1
4864982.03003238,-7594.98491449478,1
4864982.5024493,-7596.2615942716,1
4864982.37174636,-7596.56204411358,1
4864982.09613131,-7596.56723586891,1
4864980.96425743,-7597.32325729773,1
4864981.74250061,-7597.86119878459,1
4864980.96425743,-7597.32325729773,1
4864982.39810636,-7596.99570411415,1
4864965.07683005,-7633.08607518505,1
4864982.10720636,-7598.00477927282,1
4864981.74250061,-7598.09387927234,1
4864982.19030061,-7596.96801927343,1
4864982.19030061,-7596.96801927343,1
4864981.98659131,-7596.94957586874,1
4864981.76828061,-7598.44039927303,1
4864981.76828061,-7598.44039927303,1
4864981.76828061,-7598.44039927303,1
4864961.79474,-7635.38933333407,1
4864981.18169951,-7601.26733199625,1
4864981.18169951,-7599.7559115569,1
4864981.47259951,-7599.84501155642,1
4864980.75910205,-7601.26733199625,1
4864981.18169951,-7599.84501155642,1
4864981.18169951,-7599.84501155642,1
4864981.18169951,-7599.7559115569,1
4864981.18169951,-7599.7559115569,1
4864980.75910205,-7601.26733199625,1
4864980.48752556,-7601.33027146732,1
4864980.69887062,-7601.24966630847,1
4864980.25818017,-7602.48560915551,2
4864980.83641062,-7601.29550630883,1
4864979.93402478,-7604.03874961888,2
4864980.83641062,-7601.29550630883,1
4864979.93402478,-7604.03874961888,2
4864980.69944807,-7601.21062586947,1
4864980.83698807,-7601.25646586909,1
4864980.00777676,-7602.62882999996,1
4864980.83698807,-7601.25646586909,1
4864980.83698807,-7601.25646586909,1
4864980.83698807,-7601.25646586909,1
4864980.83698807,-7601.25646586909,1
4864980.02231182,-7604.34600924009,1
4864980.83698807,-7601.25646586909,1
4864981.39222659,-7600.31463219462,1
4864980.02231182,-7604.34600924009,1
4864980.57755034,-7603.40417556562,1
4864977.4914567,-7611.93306625866,1
4864979.47693182,-7606.24856924021,1
4864977.00052245,-7616.45889110067,1
4864978.37012245,-7621.24125110083,1
4864984.79662974,-7630.70354077299,2
4864978.61054375,-7619.71439110064,1
4864976.92216375,-7616.45889110067,1
4864976.68174245,-7619.71439110064,1
4864976.68174245,-7616.45889110067,1
4864977.4914567,-7610.29384109992,1
4864978.49168375,-7620.12696337189,1
4864978.49168375,-7620.12696337189,1
4864978.49168375,-7624.1249833719,1
4864978.49168375,-7620.12696337189,1
4864978.61054375,-7620.12696337189,1
4864976.48452375,-7620.12696337189,1
4864978.61054375,-7620.12696337189,1
4864978.61054375,-7620.12696337189,1
4864978.49168375,-7620.12696337189,1
4864978.49168375,-7620.12696337189,1
4864978.49168375,-7623.79734337191,1
4864984.35192,-7631.11826000065,2
4864984.35192,-7631.11826000065,2
4864984.79662974,-7630.70354077299,2
4864984.79662974,-7630.70354077299,2
4864985.85041955,-7631.42666621555,2
4864988.99275955,-7635.42246621523,2
4864988.99275955,-7635.42246621523,2
4864988.99275955,-7635.42246621523,2
4864987.01757955,-7635.42246621523,2
4864976.36296245,-7616.04401110062,1
4864976.36296245,-7616.04401110062,1
4864976.36296245,-7616.04401110062,1
4864976.48452375,-7616.45889110067,1
4864976.48452375,-7616.45889110067,1
4864978.61054375,-7619.71439110064,1
4864978.49168375,-7620.1292711007,1
4864978.49168375,-7623.79734337191,1
4864987.01757955,-7635.42246621523,2
4864978.49168375,-7620.1292711007,1
4864978.49168375,-7623.79734337191,1
4864978.49168375,-7623.79734337191,1
4864978.49168375,-7623.79734337191,1
4864978.49168375,-7623.79734337191,1
4864978.49168375,-7623.79734337191,1
4864980.18006375,-7623.79734337191,1
