"LATITUDE","LONGITUDE","FLOOR"
4864980.76467885,-7596.20122610283,1
4864981.49270525,-7596.43283956246,1
4864981.49468275,-7596.70810119351,1
4864981.19203442,-7595.54686722811,1
4864981.50993083,-7595.25249531953,1
4864981.65651726,-7595.44787038439,1
4864981.67688004,-7595.34491528609,1
4864981.64268518,-7596.60663266924,1
4864981.58069708,-7596.4707684318,1
4864981.56121022,-7597.13305136555,1
4864981.31539317,-7597.70498038646,1
4864981.83314088,-7598.48510123633,1
4864981.17835461,-7599.02665626147,1
4864981.09909695,-7601.29152678919,1
4864962.47206322,-7637.94035476543,1
4864981.19325538,-7600.21265237568,1
4864981.51006214,-7599.57587170246,1
4864981.5952024,-7598.17601868646,1
4864981.56996895,-7598.00622701165,1
4864980.94537736,-7600.05417902153,1
4864981.36679292,-7598.91506169835,1
4864981.71352995,-7599.99507913495,1
4864981.44302573,-7599.08714574687,1
4864962.62644805,-7638.0015782948,1
4864982.71706528,-7601.83698919814,1
4864982.49974146,-7600.74744192862,1
4864982.7084563,-7601.33492589335,1
4864983.32419927,-7604.79089372189,1
4864982.45025996,-7600.30567701695,1
4864982.52140564,-7601.57370736948,1
4864982.67159652,-7601.86290845798,1
4864982.79569767,-7601.97291971521,1
4864982.66803495,-7601.85340304367,1
4864981.02853892,-7601.88725968475,1
4864981.66262288,-7602.18651701867,1
4864984.0230381,-7605.5913637124,2
4864981.40488569,-7602.77173302489,1
4864981.73663465,-7610.31104750478,2
4864981.46490712,-7602.0284464847,1
4864987.38935886,-7610.23794698427,2
4864981.27683656,-7602.32460491233,1
4864981.59673861,-7602.04477189328,1
4864981.36980713,-7604.17033566623,1
4864982.6108653,-7604.86902172669,1
4864982.95160399,-7605.0835195334,1
4864983.01324667,-7605.47393836251,1
4864982.86954549,-7604.8428020617,1
4864983.31018612,-7605.69903136087,1
4864982.55704033,-7605.85371957594,1
4864982.55049609,-7604.14137271171,1
4864983.00345436,-7605.31814031264,1
4864983.10604538,-7605.6097395127,1
4864991.2830791,-7620.02576722926,1
4864988.04209569,-7615.95805440131,1
4864991.8964791,-7615.77025434503,1
4864994.73889522,-7618.49814277829,1
4864995.56707486,-7625.76132527599,2
4864996.19014001,-7617.37675795278,1
4864992.64394514,-7613.04904086476,1
4864996.17815177,-7616.84122818884,1
4864996.28563734,-7616.6461427194,1
4864990.67051492,-7614.34860054593,1
4864993.4236274,-7620.50482308971,1
4864992.54711402,-7619.38968149914,1
4864995.47128488,-7623.83997088823,1
4864992.86254072,-7621.63745381212,1
4864992.45341454,-7621.97142623416,1
4864993.0384708,-7619.38268738151,1
4864993.44975381,-7622.2523162866,1
4864993.09112428,-7621.94085582466,1
4864992.83336401,-7621.50459573942,1
4864993.43463061,-7621.32760106647,1
4864995.25694053,-7622.26189563691,1
4864993.77123273,-7626.04870366384,2
4864994.67508703,-7626.09847819273,2
4864993.722608,-7626.04675491788,2
4864993.60914501,-7626.04569927962,2
4864993.73097777,-7626.54721065316,2
4864994.49442657,-7627.14562369024,2
4864994.64005159,-7627.11071733059,2
4864994.79900174,-7627.01076629296,2
4864994.4711538,-7626.28004813168,2
4864984.14480814,-7622.2951557863,1
4864982.85218507,-7621.04175180293,1
4864980.47761159,-7620.03047715483,1
4864981.94685751,-7619.64731106939,1
4864984.15650276,-7622.66820689856,1
4864987.4418912,-7621.35363889786,1
4864988.98862639,-7623.56576702698,1
4864987.71238701,-7622.76208127386,1
4864993.43415732,-7626.93380875612,2
4864982.80105142,-7615.46056856703,1
4864986.53049411,-7631.07515482551,1
4864986.38729826,-7630.68115317924,1
4864966.41812541,-7625.92314793308,1
4864968.09423365,-7633.43471215455,1
4864968.05367783,-7633.40946140558,1
4864968.24819014,-7633.52668007193,1
4864968.06315772,-7633.46052720758,1
4864965.4205161,-7623.91384072081,1
4864967.63384082,-7633.55414846007,1
4864967.84004187,-7633.66919603231,1
4864966.26934629,-7628.5603931756,1
4864966.65746736,-7631.39782453873,1
4864966.92010882,-7622.62138423069,1
4864966.82027416,-7624.19445577274,1
4864967.87479543,-7623.82932934045,1
4864967.97082559,-7622.92904821023,1
4864968.06396677,-7624.82724182997,1
4864968.3913572,-7626.77393168876,1
4864968.26412397,-7627.65411604277,1
4864968.0919842,-7627.11034992807,1
4864992.72397408,-7627.8290970998,1
4864988.10494912,-7626.00096798178,1
4864990.11973345,-7631.97740910617,1
4864992.86551368,-7633.12624993804,1
4864992.84239669,-7633.48039952639,1
4864994.10828466,-7634.26495921941,1
4864994.06881842,-7634.60465477867,1
4864993.07545302,-7634.23698432356,1
4864992.70673809,-7633.77855902585,1
4864992.52544658,-7633.74049027034,1
4864992.79490526,-7633.9401508801,1
4864993.46289912,-7633.83307028875,1
4864993.55560234,-7633.73710945855,1
4864994.03524515,-7633.70845845358,1
4864990.60409028,-7629.99967285021,1
4864991.21265427,-7631.98972080217,1
4864991.14230801,-7632.12847333834,1
4864990.87224309,-7631.891446781,1
4864991.20752337,-7630.67926562373,1
4864992.9028147,-7633.65027397674,1
4864992.89646855,-7633.38854187326,1
4864991.5911724,-7629.69494095791,1
4864990.58272685,-7627.15274941855,1
4864989.97656623,-7624.80603025146,1
4864991.40097375,-7629.364954037,1
4864993.60307499,-7633.50245796909,1
4864993.15910532,-7633.64042378669,1
4864992.78261788,-7633.33107223097,1
4864991.30284138,-7630.76908895747,1
4864993.71968502,-7633.8216411872,1
4864990.49294572,-7628.15211775114,1
4864996.11495928,-7626.28364794974,2
4864995.69706615,-7626.46074068377,2
4864995.30173146,-7626.52707926836,2
4864995.19783248,-7626.33252211673,2
4864995.15008316,-7626.74121220219,2
4864995.42663821,-7634.12498537209,1
4864994.90288128,-7626.88800100998,2
4864995.74634251,-7626.5248328008,2
4864994.34191209,-7634.3633208968,1
4864994.8920522,-7634.12351288002,1
4864994.46573338,-7634.71444177037,1
4864994.43128037,-7634.80044966206,1
4864993.64888611,-7633.96897570512,1
4864993.84496956,-7634.15920069872,1
4864993.88858836,-7634.30127817254,1
4864994.08156843,-7634.35973855856,1
4864994.02223368,-7634.49814113132,1
4864994.10266102,-7634.69147202992,1
4864993.98490121,-7634.21995497788,1
4864994.91903589,-7633.52268024569,1
4864995.39122973,-7633.63356363142,1
4864994.27528829,-7633.62311667804,1
4864994.51658031,-7633.46394329712,1
4864994.91478401,-7633.49143293118,1
4864994.89256221,-7633.58627251114,1
4864994.72130963,-7632.17083550143,1
4864994.82245633,-7632.53209238809,1
4864991.18824227,-7632.01238141691,1
4864995.78034258,-7633.07563149896,1
4864991.53389892,-7634.13712984486,1
4864991.54422702,-7633.9262994534,1
4864991.2046835,-7634.33645259192,1
4864990.72609065,-7634.4136438571,1
4864990.42405045,-7634.1361249929,1
4864990.54642346,-7634.12226459373,1
4864990.50220025,-7634.19548844661,1
4864990.49245316,-7634.17733811253,1
4864990.64130695,-7634.24700699162,1
4864990.71789934,-7634.21684978256,1
4864991.59315185,-7634.8606487232,1
4864996.39721925,-7628.47874818602,1
4864996.62365681,-7627.56312521832,1
4864994.82790987,-7628.56968522253,1
4864993.56785205,-7634.84084164321,1
4864993.3790896,-7634.5347213434,1
4864993.65936915,-7634.7432194658,1
4864993.32933363,-7634.45687500594,1
4864993.4077987,-7634.25643918912,1
4864994.17776745,-7634.50526188921,1
4864998.47256054,-7628.6063933614,2
4864998.32720399,-7627.80031914599,2
4864998.30416473,-7627.70077462568,2
4864998.44985334,-7627.9759354828,2
4864998.34464783,-7627.64754176714,2
4864998.49644526,-7627.96311716021,2
4864998.58838343,-7628.01066263657,2
4864998.56228222,-7627.96833570937,2
4864994.73147844,-7635.07636495093,1
4864994.75232698,-7634.87518288025,1
4864995.49778347,-7635.77900999674,1
4864998.93595181,-7636.89367137112,1
4865000.00238756,-7636.9477885519,1
4865000.02161891,-7636.86893626222,1
4864999.64429118,-7636.07425731863,1
4864999.01506106,-7637.55613187373,1
4864998.70343318,-7633.5902914706,1
4864998.74226507,-7633.64750699707,1
4864998.57592696,-7633.64309466611,1
4864998.71894138,-7633.42528651614,1
4864998.60228954,-7633.26852861775,1
4864998.62021284,-7633.38791704579,1
4864999.24082625,-7633.66916458523,1
4865002.77553871,-7625.89489032148,2
4865002.83343051,-7626.19364090951,2
4865002.82492918,-7626.26577523672,2
4864999.12896208,-7639.67610554598,1
4864999.14049496,-7639.63411446658,1
4864999.53341211,-7640.04882874951,1
4864998.95822528,-7649.22914004048,1
4864999.19313022,-7649.36400748238,1
4864999.76658932,-7647.24611909302,1
4864999.17020424,-7646.97923295663,1
4864998.96743544,-7647.02092066029,1
4864999.47291535,-7646.97663392014,1
4865000.73725908,-7640.74914865944,1
4864999.53626332,-7646.91237893046,1
4864999.43719015,-7646.99215206529,1
4865003.3330226,-7628.78779721274,2
4865000.72088989,-7638.94482250113,1
4865000.72488523,-7638.81871310988,1
4865001.1499419,-7638.77739660227,1
4865001.59749795,-7639.74325179467,1
4864997.09292763,-7639.61999496504,1
4864997.28370282,-7639.72774787897,1
4864996.7523001,-7639.51892941289,1
4864992.03076401,-7639.36615247472,1
4864997.76875122,-7631.91960679202,1
4864997.96822278,-7631.8680280451,1
4864997.85329089,-7631.84793152707,1
4864997.0227503,-7639.63207629182,1
4864996.82246478,-7631.49627521634,1
4864996.83804546,-7639.79512811808,1
4864993.66844584,-7639.61975551381,1
4864992.57541974,-7639.5869733623,1
4864996.7180287,-7639.70550088111,1
4864998.18759468,-7639.55429795503,1
4864998.11418379,-7639.50324399947,1
4864998.09279637,-7639.17725343862,1
4864998.41773078,-7639.51145899897,1
4864996.74649299,-7638.95160082074,1
4864999.13482345,-7639.00278517487,1
4864998.71559774,-7639.11863181522,1
4864995.82413277,-7638.94367639484,1
4864995.71218667,-7639.04099656761,1
4864995.88787608,-7639.02922981738,1
4864998.81939478,-7637.39153347563,1
4864999.24470961,-7637.44234521886,1
4864999.30110571,-7637.3998597102,1
4864999.0366635,-7637.27334050944,1
4865000.22534399,-7637.50244751482,1
4865000.50226335,-7637.34269961416,1
4864999.70057319,-7636.74408937388,1
4864999.51758973,-7637.12033745772,1
4865000.79648852,-7636.81387798819,1
4865000.39083342,-7636.54902145085,1
4865000.4293259,-7637.220587345,1
4865000.39358318,-7637.19608924079,1
4865000.91748834,-7637.43386534068,1
4864999.84327495,-7637.08152043019,1
4865002.86532293,-7628.57146979988,2
4864999.30340653,-7637.9434908159,1
4864999.01448267,-7637.84294615355,1
4865000.87883114,-7637.87114315034,1
4865002.48204549,-7628.68563793943,2
4865002.36783257,-7628.34553697587,2
4865000.09729847,-7634.42264623387,1
4865000.06311767,-7636.79124852226,1
4865002.49470003,-7626.88455717723,2
4865002.56473509,-7626.88543657723,2
4864999.55621674,-7633.9158538385,1
4864994.87023956,-7632.32390088327,1
4864994.65925957,-7638.4111744476,1
4864994.5894436,-7638.58436724759,1
4864996.20645015,-7637.02653292276,1
4864996.17846673,-7636.98065247797,1
4864996.36157627,-7636.9092944226,1
4864998.75604223,-7635.65336095846,1
4864997.81213112,-7639.49497987753,1
4864998.05544657,-7639.39007715739,1
4864997.37076118,-7634.98600786223,1
4864997.23130443,-7633.78079357144,1
4864997.2830364,-7635.32073552857,1
4864997.23817173,-7633.72785969062,1
4864997.16010053,-7636.23521771967,1
4864997.15612173,-7637.00711037795,1
4864997.23507307,-7636.27416424858,1
4864995.6639617,-7636.07221024591,1
4864995.7701729,-7635.16808479513,1
4864995.74087263,-7635.12188842512,1
4864995.64266448,-7630.5139794027,1
4864995.96043899,-7619.6690181768,1
4864995.90918353,-7616.89502277642,1
4864995.82277502,-7617.29451680367,1
4864996.01161893,-7617.45478632823,1
4864995.46240962,-7622.90907259041,1
4864994.15625192,-7622.75732325564,1
4864996.99318803,-7634.9388901841,1
4864997.30533879,-7634.94200845641,1
4864994.33560142,-7634.86945315183,1
4864995.9282668,-7626.98646231599,1
4864997.47735497,-7634.78556105377,1
4864994.86533967,-7634.55093450815,1
4864995.40594542,-7635.41712563535,1
4864995.11215331,-7634.99542694385,1
4864990.22848858,-7632.20602715618,1
4864994.25122872,-7634.63001717068,1
4864994.13676878,-7634.76063036967,1
4864994.67499326,-7634.34807829848,1
4864994.91544528,-7634.88235721413,1
4864997.68322297,-7626.30157365946,2
4864996.96540038,-7626.61711752322,2
4864994.03152021,-7634.45589240984,1
4864993.62915305,-7634.24413283816,1
4864993.46188817,-7634.47542216421,1
4864994.00924364,-7634.44355377101,1
4864993.99022655,-7634.16107989867,1
4864994.35547007,-7634.44285724332,1
4864994.01588312,-7634.22573364317,1
4864994.46499567,-7634.54674506032,1
4864986.20842271,-7618.3924141619,1
4864994.99864459,-7626.91750639548,2
4864994.86752913,-7626.80964384596,2
4864994.80912019,-7627.42702155751,2
4864994.3361915,-7627.79928719791,2
4864994.40866826,-7627.80632508853,2
4864994.57676435,-7628.05140421159,2
4864994.36016396,-7627.71585509575,2
4864994.43975097,-7627.94280978,2
4864994.1802818,-7627.93708187004,2
4864995.07685418,-7627.77561693058,2
4864994.06416012,-7626.16924424102,2
4864995.2174655,-7626.23124326639,2
4864994.4698615,-7626.42601415056,2
4864993.779229,-7626.20892822746,2
4864993.40107497,-7626.20894822746,2
4864993.67242187,-7626.56068335234,2
4864993.65110462,-7626.72989209118,2
4864993.63459461,-7626.39427191882,2
4864993.66529311,-7626.17360350013,2
4864993.99775876,-7626.59499234062,2
4864965.77968487,-7632.8045502745,1
4864965.73015922,-7632.38069928813,1
4864965.57720602,-7632.54993815686,1
4864967.14630631,-7633.99668003972,1
4864966.86537714,-7634.07539509298,1
4864993.22696783,-7634.53710076882,1
4864993.51102438,-7634.45665745112,1
4864992.82151496,-7634.37332328509,1
4864992.68178349,-7634.14747125831,1
4864993.6333089,-7631.2283835089,1
4864989.77796322,-7624.85119107364,1
4864987.42854966,-7620.2303062912,1
4864996.17625442,-7627.07039237169,1
4864995.03556354,-7629.10291445589,1
4864995.83345625,-7628.3988934695,1
4864992.97023242,-7632.4579752238,1
4864989.30462508,-7631.27774483065,1
4864992.84662489,-7623.10373776869,1
4864989.22606741,-7630.9601524662,1
4864981.74605306,-7626.68272074557,1
4864984.86009552,-7629.45159727817,1
4864981.16694098,-7626.77510434411,1
4864987.01810418,-7631.26173046627,1
4864988.36798817,-7630.70175535125,1
4864987.84842151,-7627.36322726814,1
4864986.96691643,-7626.77198850877,1
4864980.61060227,-7627.07774610599,1
4864991.5199961,-7633.88341817423,1
4864984.90742855,-7629.76874757655,1
4864992.6482296,-7630.01059165462,1
4864992.60134713,-7618.937663146,1
4864996.98326718,-7625.58818604822,2
4864997.37568695,-7625.64557116828,2
4864996.85450242,-7625.44088023578,2
4864993.41790514,-7633.46394366578,1
4864996.01782114,-7625.40153344819,2
4864996.23836244,-7625.45050723866,2
4864994.63687505,-7626.85514105816,2
4864995.1592177,-7626.69299745975,2
4864994.16661975,-7626.00643730543,2
4864994.3306739,-7626.60803889885,2
4864994.1929477,-7626.7283373001,2
4864995.06521752,-7626.47667279585,2
4864995.07781066,-7626.45189761285,2
4864995.21771623,-7626.74351761535,2
4864991.48787362,-7626.51205544979,1
4864993.41058525,-7626.96455556596,1
4864989.96290652,-7623.02074400991,1
4864987.6650674,-7621.43217639933,1
4864980.53771743,-7618.46205194034,1
4864970.44839822,-7612.44077267951,1
4864984.53308624,-7631.85312167586,1
4864970.69769961,-7618.89363392771,1
4864984.80687828,-7631.5700651189,1
4864984.95308032,-7626.01627579537,1
4864970.58227872,-7623.04999306366,1
4864974.26021443,-7626.28473309826,1
4864976.50062276,-7622.66206998672,1
4864975.07354461,-7623.31006268468,1
4864971.03588164,-7619.11524293868,1
4864962.84247174,-7612.08296006904,1
4864963.01385434,-7613.37501066532,1
4864963.01771909,-7615.62769509903,1
4864961.11969413,-7615.43681104785,1
4864960.91320464,-7613.08174224122,1
4864960.86718343,-7612.64331784288,1
4864960.7696869,-7618.35095036781,1
4864963.05006781,-7613.33305791563,1
4864960.52540775,-7611.53080409693,1
4864958.58499372,-7616.11259607108,1
4864958.28845077,-7624.39109474564,1
4864958.39342737,-7621.6087567627,1
4864958.58549054,-7618.88648368511,1
4864958.54108728,-7626.39318814182,1
4864958.89712847,-7629.00628387115,1
4864958.78421102,-7628.59751883556,1
4864958.0877438,-7627.03144464938,1
4864958.08407534,-7621.9074355281,1
4864960.19967216,-7612.31723243699,1
4864958.94087184,-7625.96017815022,1
4864970.06464769,-7639.64432740528,1
4864958.89818969,-7629.01095081391,1
4864958.75090797,-7622.84305019796,1
4864958.66132889,-7627.34959619769,1
4864958.45789832,-7624.66655907115,1
4864958.97290787,-7627.59793956279,1
4864959.35603469,-7625.94127672772,1
4864958.86602221,-7624.06953020944,1
4864958.64857369,-7636.43474067266,1
4864959.7346756,-7635.42639242938,1
4864957.72479277,-7627.07904271505,1
4864960.43947328,-7612.34162452142,1
4864960.31914116,-7614.78211609565,1
4864959.8655389,-7610.25658941838,1
4864959.80787929,-7610.14440779478,1
4864959.83502098,-7611.54989873617,1
4864966.99327494,-7611.75989783757,1
4864960.15412134,-7619.68864390969,1
4864959.8655389,-7612.32830562286,1
4864973.67509331,-7636.89997323081,0
4864962.53221434,-7614.97663507572,1
4864973.89910915,-7636.73818127834,0
4864959.973301,-7615.21823058851,1
4864959.72478656,-7614.68182147319,1
4864960.07755616,-7614.94432961452,1
4864974.59837905,-7639.03810471599,0
4864959.60692324,-7619.03605008355,1
4864959.82275916,-7615.74306798041,1
4864959.92957112,-7615.97762754207,1
4864957.51685777,-7617.65843854871,1
4864959.63503223,-7613.76305997844,1
4864957.95129819,-7616.4568925164,1
4864957.22310236,-7617.66583254031,1
4864957.28168097,-7626.6941437447,1
4864956.83784574,-7627.06421044861,1
4864956.6178433,-7627.0760886601,1
4864956.64229955,-7626.84160523225,1
4864956.52752091,-7626.92730455018,1
4864956.5132108,-7626.94117563891,1
4864956.88951622,-7627.50542383976,1
4864951.11689615,-7651.54197616788,1
4864951.15605185,-7651.48761922717,1
4864951.35361619,-7651.63077750179,1
4864951.36898759,-7651.5417172226,1
4864951.32883406,-7651.73077607626,1
4864951.50606239,-7651.71394014293,1
4864951.3835025,-7651.63845641324,1
4864951.38934125,-7651.65864169784,1
4864951.43117788,-7652.14066150316,1
4864956.65780793,-7634.90089878525,1
4864956.83834454,-7635.06195565145,1
4864956.29578248,-7639.90403829238,1
4864957.25993851,-7639.60119428102,1
4864957.15716232,-7639.35321853282,1
4864957.87342334,-7639.40316801152,1
4864957.29157705,-7641.11282637481,1
4864957.02922144,-7640.48094426172,1
4864956.7852247,-7640.38663089109,1
4864957.11635559,-7640.3181322976,1
4864957.22873936,-7639.67496720597,1
4864961.32483315,-7634.18699501835,2
4864948.79718421,-7644.0034319282,1
4864948.51924715,-7644.14766809818,1
4864948.6263244,-7643.73595694425,1
4864950.10303638,-7643.69785172435,1
4864950.10303638,-7643.69785172435,1
4864950.10303638,-7643.75168147202,1
4864950.06753689,-7643.70456739098,1
4864949.98778787,-7644.43642843147,1
4864963.86486468,-7637.25927750259,2
4864958.34332822,-7647.57151178738,1
4864962.37640472,-7638.14313940131,2
4864962.22531884,-7638.18176908352,2
4864962.2412837,-7638.18773042078,2
4864962.29089329,-7638.15424352343,2
4864962.09977133,-7637.88221905481,2
4864962.35812861,-7637.86806882451,2
4864969.90778115,-7637.15283162103,2
4864962.27284333,-7638.18481641199,2
4864962.52670324,-7637.81424477675,2
4864962.50356707,-7637.84323458236,2
4864962.50821,-7637.84671143482,2
4864962.38256426,-7638.1667110321,2
